frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778231144.562544002,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.17,
1778231144.562544133,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.43,
1778231144.562544183,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.44,
1778231144.562544233,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.45,
1778231144.562544283,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.46,
1778231144.562544333,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.47,
1778231144.562544383,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.48,
1778231144.571362795,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.49,
1778231144.571362925,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.50,
1778231144.571362976,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.53,
1778231144.571363016,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.54,
1778231144.600501387,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.55,
